timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715180976700,14,Home (HTTP Request),200,OK,Thread Group 1-2,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,11,0,4
1715180976700,11,Home (HTTP Request)-0,302,Found,Thread Group 1-2,,true,,146,126,25,25,http://localhost:8080/jpetstore,11,0,4
1715180976711,3,Home (HTTP Request)-1,200,OK,Thread Group 1-2,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180976706,9,Home (HTTP Request),200,OK,Thread Group 1-1,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,6,0,2
1715180976706,6,Home (HTTP Request)-0,302,Found,Thread Group 1-1,,true,,146,126,25,25,http://localhost:8080/jpetstore,6,0,2
1715180976713,2,Home (HTTP Request)-1,200,OK,Thread Group 1-1,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180976744,7,Home (HTTP Request),200,OK,Thread Group 1-3,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,4,0,1
1715180976744,4,Home (HTTP Request)-0,302,Found,Thread Group 1-3,,true,,146,126,25,25,http://localhost:8080/jpetstore,4,0,1
1715180976748,3,Home (HTTP Request)-1,200,OK,Thread Group 1-3,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180976822,9,Home (HTTP Request),200,OK,Thread Group 1-4,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,5,0,1
1715180976822,5,Home (HTTP Request)-0,302,Found,Thread Group 1-4,,true,,146,126,25,25,http://localhost:8080/jpetstore,5,0,1
1715180976827,4,Home (HTTP Request)-1,200,OK,Thread Group 1-4,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,4,0,0
1715180976876,7,Home (HTTP Request),200,OK,Thread Group 1-5,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,3,0,1
1715180976876,3,Home (HTTP Request)-0,302,Found,Thread Group 1-5,,true,,146,126,25,25,http://localhost:8080/jpetstore,3,0,1
1715180976879,4,Home (HTTP Request)-1,200,OK,Thread Group 1-5,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,4,0,0
1715180976895,7,Home (HTTP Request),200,OK,Thread Group 1-6,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,4,0,1
1715180976895,4,Home (HTTP Request)-0,302,Found,Thread Group 1-6,,true,,146,126,25,25,http://localhost:8080/jpetstore,4,0,1
1715180976899,3,Home (HTTP Request)-1,200,OK,Thread Group 1-6,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180976925,5,Home (HTTP Request),200,OK,Thread Group 1-7,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180976925,2,Home (HTTP Request)-0,302,Found,Thread Group 1-7,,true,,146,126,25,25,http://localhost:8080/jpetstore,2,0,0
1715180976927,3,Home (HTTP Request)-1,200,OK,Thread Group 1-7,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180976940,7,Home (HTTP Request),200,OK,Thread Group 1-8,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,5,0,1
1715180976940,5,Home (HTTP Request)-0,302,Found,Thread Group 1-8,,true,,146,126,25,25,http://localhost:8080/jpetstore,5,0,1
1715180976946,1,Home (HTTP Request)-1,200,OK,Thread Group 1-8,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1715180976979,7,Home (HTTP Request),200,OK,Thread Group 1-9,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,4,0,1
1715180976979,4,Home (HTTP Request)-0,302,Found,Thread Group 1-9,,true,,146,126,25,25,http://localhost:8080/jpetstore,4,0,1
1715180976984,2,Home (HTTP Request)-1,200,OK,Thread Group 1-9,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1715180977041,6,Home (HTTP Request),200,OK,Thread Group 1-10,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,4,0,0
1715180977041,4,Home (HTTP Request)-0,302,Found,Thread Group 1-10,,true,,146,126,25,25,http://localhost:8080/jpetstore,4,0,0
1715180977045,2,Home (HTTP Request)-1,200,OK,Thread Group 1-10,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180977074,11,Home (HTTP Request),200,OK,Thread Group 1-12,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,4,0,1
1715180977074,4,Home (HTTP Request)-0,302,Found,Thread Group 1-12,,true,,146,126,25,25,http://localhost:8080/jpetstore,4,0,1
1715180977079,6,Home (HTTP Request)-1,200,OK,Thread Group 1-12,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,6,0,0
1715180977083,11,Home (HTTP Request),200,OK,Thread Group 1-11,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,9,0,3
1715180977083,9,Home (HTTP Request)-0,302,Found,Thread Group 1-11,,true,,146,126,25,25,http://localhost:8080/jpetstore,9,0,3
1715180977092,2,Home (HTTP Request)-1,200,OK,Thread Group 1-11,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180977161,18,Home (HTTP Request),200,OK,Thread Group 1-13,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,5,0,2
1715180977161,5,Home (HTTP Request)-0,302,Found,Thread Group 1-13,,true,,146,126,25,25,http://localhost:8080/jpetstore,5,0,2
1715180977166,13,Home (HTTP Request)-1,200,OK,Thread Group 1-13,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,13,0,0
1715180977198,10,Home (HTTP Request),200,OK,Thread Group 1-14,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,4,0,2
1715180977198,4,Home (HTTP Request)-0,302,Found,Thread Group 1-14,,true,,146,126,25,25,http://localhost:8080/jpetstore,4,0,2
